Order #,Expected Delivery Date,Department,Class,Status,Location,Division,SO Approver Partner,ITEM CODE,ITEM NAME,ORDER QUANTITY,eBizDownloadStatus,Store Code,Indent No,Amount,Indent Date,Location,TRANSACTION TYPE,PLACE OF SUPPLY,CUSTOMER PO NO
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5025110831","Bisleri Water 2 Ltr (9X1) - MRP 30","18","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5025110832","Bisleri Water 500ml (24X1) - MRP 10","72","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5025114268/1","REDBULLSUGRFREE250ML (24X1) - MRP 125","24","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"2","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024113222","3397005291 - Wiper Eco set 16/16 in (5X1) - MRP 334","90","Edit","10048854","rfpl/finalised/104476","1","08/12/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"2","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024116488","3397005292 - Wiper Eco set 17/17 in (5X1) - MRP 345","70","Edit","10048854","rfpl/finalised/104476","1","08/12/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"2","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024116489","3397005293 - Wiper Eco set 18/18 in (5X1) - MRP 392","15","Edit","10048854","rfpl/finalised/104476","1","08/12/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"5","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024113222","3397005291 - Wiper Eco set 16/16 in (5X1) - MRP 334","2","Edit","10035040","rfpl/finalised/104479","1","06/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"4","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024113222","3397005291 - Wiper Eco set 16/16 in (5X1) - MRP 334","4","Edit","10035040","rfpl/finalised/104478","1","05/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"4","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116488","3397005292 - Wiper Eco set 17/17 in (5X1) - MRP 345","4","Edit","10035040","rfpl/finalised/104478","1","05/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024113221/1","3397011642 - Wiper Eco 12 in(D) (10X1) - MRP 146","10","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024113224","3397005294 - Wiper Eco set 19/19 in (5X1) - MRP 420","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024113230","3397010053 - Wiper Eco set 21/19 in (5X1) - MRP 444","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024113240","3397010054 - Wiper Eco set 18/16 in (5X1) - MRP 357","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116229/1","3397016576 - Wiper CLADV 16 in(P) (10X1) - MRP 311","10","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116230","3397016578 - Wiper CLADV 18 in(P) (10X1) - MRP 337","10","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116230/1","3397016578 - Wiper CLADV 18 in(P) (10X1) - MRP 354","10","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116231","3397011643 - Wiper Eco 14 in(P) (10X1) - MRP 143","10","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116488","3397005292 - Wiper Eco set 17/17 in (5X1) - MRP 345","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024116489","3397005293 - Wiper Eco set 18/18 in (5X1) - MRP 392","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024120456","3397005295 - Wiper Eco set 20/20 in (5X1) - MRP 437","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""
"3","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","Santosh Thorat","5024120457","3397005296 - Wiper Eco set 22/22 in (5X1) - MRP 482","1","Edit","10035040","rfpl/finalised/104477","1","04/12/2023","OTRD : Bangalore Shell","GST Tax Invoice","Karnataka",""

